CÓDIGO,DESCRIÇÃO,NOVO VALOR (HM),VALOR (CUSTO),AUXILIAR,PORTE,FILME
20202040,Monitorização neurofisiológica intra-operatória,302.64,0,0,0,0
20202059,Potencial evocado intra-operatório - monitorização cirúrgica (PE/IO),119,0,0,0,0
20202067,Monitorização da pressão intracraniana (por dia),68.05,0,0,0,0
20203004,PROCEDIMENTOS CLÍNICOS (HOSPITALARES) - REABILITAÇÕES/SESSÕES,,,,,
20203012,Assistência fisiátrica respiratória em paciente internado com ventilação mecânica,5.28,0,0,0,0
20203020,Eletroestimulação do assoalho pélvico e/ou outra técnica de exercícios perineais - por sessão,9.05,0,0,0,0
20203047,Assistência fisiátrica respiratória em doente clínico internado,4.95,0,0,0,0
20203063,Pacientes com doença isquêmica do coração. hospitalizado. até 8 semanas de programa,5.77,0,0,0,0
20203071,Pacientes em pós-operatório de cirurgia cardíaca. hospitalizado. até 8 semanas de programa,5.77,0,0,0,0
20204000,PROCEDIMENTOS CLÍNICOS (HOSPITALARES) - TERAPIAS,,,,,
20204027,Cardioversão elétrica de emergência,80.44,0,0,0,0
20204035,Cardioversão química de arritmia paroxísta em emergência,80.44,0,0,0,0
20204043,Priapismo - tratamento não cirúrgico,80.44,0,0,0,0
20204086,Terapia oncológica com aplicação intra-arterial de medicamentos. em regime de aplicação peroperatória. por meio de cronoinfusor ou perfusor extra-corpórea,144.79,0,0,0,0
20204159,Pulsoterapia / terapia imunológica intravenosa (por sessão) - hospitalar,138.39,0,0,0,0
30101000,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS (PELE E TECIDO CELULAR SUBCUTÂNEO/ANEXOS) - PROCEDIMENTOS,,,,,
30101018,Abrasão cirúrgica (por sessão),125.6,0,0,0,0
30101050,Apêndice pré-auricular - ressecção,208.34,0,1,4,0
30101069,Autonomização de retalho - por estágio,122.22,0,1,1,0
30101077,Biópsia de pele. tumores superficiais. tecido celular subcutâneo. linfonodo superficial. etc,50.24,0,0,0,0
30101085,Biópsia de unha,40.35,0,0,1,0
30101093,Calosidade e/ou mal perfurante - desbastamento (por lesão),39.17,0,0,0,0
30101107,Cauterização química (por grupo de até 5 lesões),49.9,0,0,0,0
30101115,Cirurgia da hidrosadenite (por região),74.01,0,0,0,0
30101123,Cirurgia micrográfica de Mohs,176.77,0,0,3,0
30101140,Correção cirúrgica de linfedema (por estágio),458.33,0,2,4,0
30101158,Correção cirúrgica de sequelas de alopecia traumática com microenxertos pilosos (por região),192.13,0,1,5,0
30101166,Correção de deformidades nos membros com utilização de implantes,457.28,0,2,6,0
30101174,Correção de deformidades por exérese de tumores. cicatrizes ou ferimentos com o emprego de expansores  em retalhos  musculares ou miocutâneos (por estágio),534.72,0,2,4,0
30101182,Correção de deformidades por exérese de tumores. cicatrizes ou ferimentos. com o emprego de expansores de tecido. em retalhos cutâneos (por estágio),457.28,0,2,4,0
30101204,Criocirurgia (nitrogênio líquido) de neoplasias cutâneas,136.14,0,0,2,0
30101212,Curativo de queimaduras - por unidade topográfica (UT) ambulatorial,71.46,0,0,0,0
30101220,Curativo de queimaduras - por unidade topográfica (UT) hospitalar,80.53,0,0,0,0
30101239,Curativo especial sob anestesia - por unidade topográfica (UT),80.53,0,0,0,0
30101247,Curetagem e eletrocoagulação de CA de pele (por lesão),104.67,0,0,0,0
30101255,Curetagem simples de lesões de pele (por grupo de até 5 lesões),49.9,0,0,0,0
30101263,Dermoabrasão de lesões cutâneas,142.18,0,0,0,0
30101271,Dermolipectomia para correção de abdome em avental,330,0,2,4,0
30101280,Desbridamento cirúrgico - por unidade topográfica (UT),152.78,0,1,1,0
30101298,Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões),60.28,0,0,0,0
30101301,Enxerto cartilaginoso,165.23,0,1,2,0
30101310,Enxerto composto,251.19,0,1,2,0
30101328,Enxerto de mucosa,165.23,0,1,2,0
30101336,Enxerto de pele (homoenxerto inclusive),275.61,0,2,2,0
30101344,Enxerto de pele múltiplo - por unidade topográfica (UT),275.61,0,2,2,0
30101352,Epilação por eletrólise (por sessão),49.9,0,0,0,0
30101360,Escalpo  parcial  -  tratamento cirúrgico,192.13,0,2,4,0
30101379,Escalpo total - tratamento cirúrgico,519.45,0,1,7,0
30101387,Escarotomia descompressiva - por unidade topográfica (UT),140.64,0,0,0,0
30101425,Exérese de higroma cístico,252.09,0,0,0,0
30101433,Exérese de higroma cístico no RN e lactente,595.84,0,1,5,0
30101441,Exérese de lesão com auto-enxertia,251.19,0,1,2,0
30101450,Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos,222.01,0,1,1,0
30101468,Exérese de lesão / tumor de pele e mucosas,114.58,0,1,1,0
30101476,Exérese de tumor e rotação de retalho músculo-cutâneo,226.07,0,1,0,0
30101484,Exérese de unha,50.24,0,0,0,0
30101492,Exérese e sutura simples de pequenas lesões - grupo de até 5 lesões,125.6,0,0,0,0
30101506,Exérese tangencial (shaving) - (por grupo de até 5 lesões),48.03,0,0,2,0
30101514,Expansão tissular (por sessão),41.52,0,0,0,0
30101522,Extensos ferimentos. cicatrizes ou tumores - excisão e retalhos cutâneos da região,336.11,0,1,3,0
30101530,Extensos ferimentos. cicatrizes ou tumores - exérese e emprego de retalhos cutâneos ou musculares  cruzados (por estágio),534.72,0,2,4,0
30101549,Extensos ferimentos. cicatrizes ou tumores - exérese e retalhos cutâneos à distância,305.55,0,1,3,0
30101557,Extensos ferimentos. cicatrizes ou tumores - exérese e rotação de retalho fasciocutâneo ou axial,534.72,0,2,4,0
30101565,Extensos ferimentos. cicatrizes ou tumores - exérese e rotação de retalhos miocutâneos,534.72,0,2,4,0
30101573,Extensos ferimentos. cicatrizes ou tumores - exérese e rotação de retalhos musculares,534.72,0,2,4,0
30101581,Extensos ferimentos. cicatrizes. ou tumores - exérese e enxerto cutâneo,229.17,0,1,3,0
30101590,Face - biópsia,50.24,0,0,0,0
30101603,Ferimentos infectados e mordidas de animais (desbridamento),178.67,0,1,2,0
30101611,Incisão e drenagem de tenossinovites purulentas,83.73,0,0,0,0
30101620,Incisão e drenagem de abscesso. hematoma ou panarício,50.24,0,0,0,0
30101638,Incisão e drenagem de flegmão,83.73,0,0,0,0
30101646,Infiltração  intralesional. cicatricial e hemangiomas - por sessão,37.43,0,0,0,0
30101662,Matricectomia por dobra ungueal,75.36,0,0,0,0
30101670,Plástica em Z ou W,207.6,0,0,0,0
30101689,Reconstrução com retalhos de gálea aponeurótica,391.95,0,2,5,0
30101697,Retalho composto (incluindo cartilagem ou osso),549.99,0,1,5,0
30101700,RETALHO LOCAL OU REGIONAL,29.216.992,0,2,3,0
30101735,Retirada de corpo estranho subcutâneo,50.24,0,0,0,0
30101743,Retração cicatricial de axila - tratamento cirúrgico,165.23,0,2,3,0
30101751,Retração cicatricial de zona de flexão e extensão de membros superiores e inferiores,275.61,0,1,3,0
30101778,Retração de aponevrose palmar (Dupuytren),275.61,0,1,3,0
30101760,Retração cicatricial do cotovelo - tratamento cirúrgico,165.23,0,2,3,0
30101786,Sutura de extensos ferimentos com ou sem desbridamento,244.44,0,1,2,0
30101794,Sutura de pequenos ferimentos com ou sem desbridamento,104.45,0,0,0,0
30101808,Transecção de retalho,165.23,0,1,3,0
30101816,Transferência intermediária de retalho,165.23,0,1,3,0
30101824,Tratamento cirúrgico de bridas constrictivas,305.55,0,1,3,0
30101832,Tratamento cirúrgico de grandes hemangiomas,502.39,0,1,4,0
30101840,Tratamento da miiase furunculóide (por lesão),50.24,0,0,0,0
30101867,Tratamento de escaras ou ulcerações com enxerto de pele,611.11,0,1,4,0
30101875,Tratamento de escaras ou ulcerações com retalhos cutâneos locais,611.11,0,1,4,0
30101883,Tratamento de escaras ou ulcerações com retalhos miocutâneos ou musculares,611.11,0,1,4,0
30101891,Tratamento de fístula cutânea,140.64,0,0,0,0
30101913,TU partes moles - exérese,95.49,0,1,2,0
30101921,Exérese e sutura de hemangioma. linfangioma ou nevus (por grupo de até 5 lesões),114.58,0,1,1,0
30101930,Abscesso de unha (drenagem) - tratamento cirúrgico,25.13,0,0,0,0
30101948,Cantoplastia ungueal,85.22,0,1,2,0
30101956,Unha (enxerto) - tratamento cirúrgico,78.33,0,0,0,0
30201004,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS (CABEÇA E PESCOÇO) - LÁBIO,,,,,
30201012,Biópsia de lábio,50.24,0,0,0,0
30201020,Excisão com plástica de vermelhão,309.45,0,2,3,0
30201039,Excisão com reconstrução à custa de retalhos,389.58,0,2,3,0
30201047,Excisão com reconstrução total,595.84,0,3,5,0
30201055,Excisão em cunha,89.34,0,1,1,0
30201063,Frenotomia labial,80.53,0,0,1,0
30201071,Queiloplastia para fissura labial unilateral - por estágio,458.33,0,1,4,0
30201080,Reconstrução de sulco gengivo-labial,252.09,0,1,3,0
30201098,Reconstrução total do lábio,595.84,0,2,5,0
30201101,Tratamento cirúrgico da macrostomia,275.61,0,0,0,0
30201110,Tratamento cirúrgico da microstomia,275.61,0,0,0,0
30202000,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS (CABEÇA E PESCOÇO) - BOCA,,,,,
30202019,Alongamento cirúrgico do palato mole,418.85,0,1,4,0
30202027,Biópsia de boca,50.24,0,0,0,0
30202035,Excisão de lesão maligna com reconstrução à custa de retalhos locais,504.16,0,2,4,0
30202043,Excisão de tumor de boca com mandibulectomia,641.67,0,3,5,0
30202051,Exérese de tumor e enxerto cutâneo ou mucoso,500.29,0,3,5,0
30202060,Fístula orofacial - tratamento cirúrgico,305.55,0,1,3,0
30202078,Glossectomia subtotal ou total. com ou sem mandibulectomia,275,0,1,3,0
30202086,Palato-queiloplastia unilateral,537.97,0,2,5,0
30202094,Palatoplastia com enxerto ósseo,687.5,0,1,5,0
30202108,Palatoplastia com retalho faríngeo,763.89,0,1,5,0
30202116,Palatoplastia com retalho miomucoso,503.39,0,2,5,0
30202124,Palatoplastia parcial,418.85,0,1,5,0
30202132,Palatoplastia total,458.33,0,1,5,0
30202140,Plástica do ducto parotídeo,305.55,0,1,3,0
30203007,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS (CABEÇA E PESCOÇO) - LÍNGUA,,,,,
30203015,Frenotomia lingual,80.53,0,0,1,0
30203023,Tumor de língua - tratamento cirúrgico,168.05,0,1,3,0
30203031,Biópsia de língua,52.4,0,1,2,0
30204003,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS (CABEÇA E PESCOÇO) - GLÂNDULAS SALIVARES,,,,,
30204011,Biópsia de glândula salivar,50.24,0,0,0,0
30204020,Excisão de glândula submandibular,458.33,0,3,4,0
30204038,Exérese de rânula ou mucocele,148.22,0,1,3,0
30204046,Parotidectomia parcial com conservação do nervo facial,641.67,0,3,5,0
30204054,Parotidectomia total ampliada com ou sem reconstrução com retalhos locais,549.99,0,3,5,0
30204062,Parotidectomia total com conservação do nervo facial,641.67,0,3,5,0
30204070,Parotidectomia total com reconstrução do nervo facial,1008.33,0,3,6,0
30204089,Parotidectomia total com sacrificio do nervo facial. sem reconstrução,504.16,0,2,5,0
30204097,Plastia de ducto salivar ou exérese de cálculo ou de rânula salivar,191.68,0,1,2,0
30204100,Ressecção de tumor de glândula sublingual,303.74,0,2,3,0
30205000,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS (CABEÇA E PESCOÇO) - FARINGE,,,,,
30205018,Abscesso faríngeo - qualquer área,91.66,0,0,1,0
30205026,Adeno tonsilectomia - revisão cirúrgica,165.23,0,1,4,0
30205034,Adeno-amigdalectomia,229.17,0,0,2,0
30205042,Adenoidectomia,137.51,0,0,1,0
30205050,Amigdalectomia das palatinas,206.24,0,0,2,0
30205069,Amigdalectomia lingual,160.41,0,1,3,0
30205077,Biópsia do cavum. orofaringe ou hipofaringe,50.24,0,0,0,0
30205085,Cauterização (qualquer técnica) por sessão,25.13,0,0,0,0
30205093,Corpo estranho de faringe - retirada em consultório,65.32,0,0,0,0
30205107,Corpo estranho de faringe - retirada sob anestesia geral,91.66,0,0,1,0
30205115,Criptólise amigdaliana,126.81,0,1,3,0
30205140,Faringolaringectomia,549.99,0,1,5,0
30205158,Faringolaringoesofagectomia total,1.375.00,0,4,7,0
30205166,Ressecção de nasoangiofibroma,503.39,0,3,5,0
30205174,Ressecção de tumor de faringe (via bucal ou nasal),542.15,0,2,5,0
30205182,Ressecção de tumor de faringe com acesso por faringotomia ou por retalho jugal,641.67,0,2,5,0
30205190,Ressecção de tumor de faringe com mandibulectomia,825,0,3,5,0
30205204,Ressecção de tumor de faringe por mandibulotomia,649.41,0,3,5,0
30205212,Ressecção de tumor de nasofaringe via endoscópica,165.23,0,1,5,0
30205239,Tumor de boca ou faringe - ressecção,91.66,0,1,1,0
30205247,Uvulopalatofaringoplastia (qualquer técnica),687.5,0,1,5,0
30205271,Adenoidectomia por videoendoscopia,137.5,0,0,3,0
30206006,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS (CABEÇA E PESCOÇO) - LARINGE,,,,,
30206014,Alargamento de traqueostomia,252.52,0,1,3,0
30206022,Aritenoidectomia microcirúrgica,305.55,0,0,2,0
30206030,Aritenoidectomia ou aritenopexia via externa,420.14,0,1,4,0
30206049,Confecção de fístula tráqueo-esofágica para prótese fonatória com miotomia faríngea,353.53,0,2,6,0
30206065,Exérese de tumor por via endoscópica,132.22,0,0,1,0
30206103,Injeção intralaríngea de toxina botulínica,209.83,0,1,0,0
30206120,Laringectomia parcial,412.5,0,2,4,0
30206138,Laringectomia total,549.99,0,2,4,0
30206170,Laringofissura (inclusive com cordectomia),305.55,0,2,4,0
30206200,Laringotraqueoplastia,381.94,0,2,4,0
30206219,Microcirurgia com laser para remoção de lesões malignas,347.22,0,1,4,0
30206227,Microcirurgia com uso de laser para ressecção de lesões benignas,284.09,0,0,3,0
30206235,Microcirurgia para decorticação ou tratamento de edema de Reinke,305.55,0,0,3,0
30206243,Microcirurgia para remoção de cisto ou lesão intracordal,267.36,0,0,2,0
30206251,Microcirurgia para ressecção de papiloma,305.55,0,0,2,0
30206260,Microcirurgia para ressecção de pólipo. nódulo ou granuloma,190.97,0,0,2,0
30206278,Microcirurgia para tratamento de paralisia de prega vocal (inclui injeção de materiais),267.36,0,0,2,0
30206294,Reconstrução para fonação após laringectomia,114.58,0,2,4,0
30206308,Tiroplastia tipo 1 com rotação de aritenóide,458.33,0,1,4,0
30206316,Tiroplastia tipo 1 simples,318.71,0,1,4,0
30206324,Tiroplastia tipo 2 ou 3,357.85,0,1,4,0
30206359,Tratamento cirúrgico da estenose laringo-traqueal,687.5,0,2,6,0
30206367,Tratamento cirúrgico de trauma laríngeo (agudo),381.94,0,2,3,0
30207002,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS (CABEÇA E PESCOÇO) - TRAUMA CRÂNIO-MAXILO-FACIAL,,,,,
30207010,Redução de fratura do malar (sem fixação),167.46,0,1,1,0
30207029,Redução de fratura do malar (com fixação),252.09,0,1,2,0
30207037,Redução de fratura de seio frontal (acesso frontal),167.46,0,1,2,0
30207045,Redução de fratura de seio frontal (acesso coronal),293.06,0,1,4,0
30207061,Fratura do arco zigomático - redução instrumental sem fixação,114.58,0,1,1,0
